CustomerID,Gender,Age,Region,MembershipLevel,VisitCount,AveragePurchaseAmount,TotalPurchaseAmount,SatisfactionScore,LastPurchaseDate,CouponUsed,PreferredCategory,SignupDate,Email,PurchaseStatus,AgeGroup,PurchaseGrade,RecenctPurchaseDays,SignedDays,AmountPerVisit
CUST101486,F,40.0,Seoul,Silver,5,75000.0,139800.0,3.7,2026-02-07,N,Beauty,2022-12-03,customer1486@example.com,0,40,1,114,1276,27960
CUST100113,M,39.0,Gyeonggi,Basic,7,74400.0,159200.0,4.8,2026-04-22,N,Home,2021-07-16,customer113@example.com,1,30,1,40,1781,22742
CUST101212,M,44.0,Daegu,Vip,7,153900.0,413200.0,4.5,2026-05-07,N,Home,2021-10-27,customer1212@example.com,1,40,2,25,1678,59028
CUST100312,M,37.0,Gyeonggi,Basic,14,123700.0,576000.0,4.0,2026-04-16,N,Home,2025-11-08,customer312@example.com,1,30,3,46,205,41142
CUST100600,F,47.0,Daejeon,Vip,10,246700.0,1060200.0,2.6,2026-01-31,Y,Beauty,2025-01-28,customer600@example.com,1,40,3,121,489,106020
CUST100050,M,26.0,Busan,Silver,3,43900.0,40700.0,4.1,2026-01-21,Y,Home,2021-07-01,customer50@example.com,0,20,1,131,1796,13566
CUST101364,M,56.0,Daejeon,Gold,7,210800.0,443500.0,5.0,2026-06-12,Y,Food,2024-05-03,customer1364@example.com,1,50,2,-11,759,63357
CUST100518,M,42.0,Seoul,Basic,6,81700.0,70700.0,2.4,2026-03-19,N,Fashion,2023-10-13,customer518@example.com,0,40,1,74,962,11783
CUST100037,F,53.0,Gyeonggi,Basic,10,153900.0,629800.0,4.4,2026-02-18,N,Electronics,2024-09-05,customer37@example.com,1,50,3,103,634,62980
CUST101156,M,23.0,Gyeonggi,Basic,12,67700.0,451500.0,4.2,2026-03-31,Y,Home,2022-06-12,customer1156@example.com,1,20,2,62,1450,37625
CUST101054,M,34.0,Seoul,Gold,10,123400.0,378100.0,2.7,2026-05-04,N,Beauty,2021-07-04,customer1054@example.com,1,30,2,28,1793,37810
CUST100375,M,34.0,Daejeon,Basic,13,148300.0,609500.0,3.3,2026-04-24,Y,Fashion,2021-08-28,customer375@example.com,0,30,3,38,1738,46884
CUST100673,M,39.0,Seoul,Gold,9,130800.0,269800.0,3.6,2026-01-26,N,Sports,2022-06-06,customer673@example.com,1,30,2,126,1456,29977
CUST100626,M,46.0,Gyeonggi,Silver,13,135000.0,879100.0,4.4,2026-05-15,N,Food,2020-07-25,customer626@example.com,1,40,3,17,2137,67623
CUST100747,M,52.0,Busan,Silver,6,103800.0,209600.0,2.2,2026-05-01,Y,Home,2025-03-03,customer747@example.com,0,50,2,31,455,34933
CUST100629,F,47.0,Seoul,Silver,6,95700.0,107500.0,5.0,2026-01-17,Y,Beauty,2021-04-16,customer629@example.com,0,40,1,135,1872,17916
CUST101271,F,31.0,Seoul,Basic,13,51500.0,350700.0,4.0,2026-06-02,N,Fashion,2023-11-26,customer1271@example.com,0,30,2,-1,918,26976
CUST100741,F,46.0,Gyeonggi,Basic,8,147500.0,534600.0,4.0,2026-06-15,Y,Beauty,2025-08-12,customer741@example.com,1,40,3,-14,293,66825
CUST100757,M,37.0,Seoul,Basic,5,5000.0,10300.0,3.8,2026-06-29,N,Sports,2023-10-28,customer757@example.com,0,30,1,-28,947,2060
CUST100561,M,44.0,Daegu,Silver,9,87400.0,194800.0,3.9,2026-05-17,N,Home,2021-06-28,customer561@example.com,0,40,2,15,1799,21644
CUST101393,M,53.0,Seoul,Gold,10,117500.0,448300.0,3.5,2026-06-15,N,Beauty,2025-02-28,customer1393@example.com,1,50,2,-14,458,44830
CUST100140,M,29.0,Busan,Silver,9,174700.0,378900.0,2.5,2026-02-03,Y,Electronics,2024-01-05,customer140@example.com,0,20,2,118,878,42100
CUST100883,F,43.0,Gyeonggi,Basic,7,113600.0,360500.0,3.9,2026-01-15,Y,Sports,2022-02-13,customer883@example.com,0,40,2,137,1569,51500
CUST100658,F,50.0,Seoul,Basic,4,53600.0,98500.0,3.8,2026-06-12,N,Food,2022-07-26,customer658@example.com,0,50,1,-11,1406,24625
CUST100195,F,18.0,Seoul,Basic,7,32000.0,114300.0,4.8,2026-06-12,N,Fashion,2025-11-17,customer195@example.com,0,10,1,-11,196,16328
CUST100201,M,45.0,Gyeonggi,Gold,13,222500.0,998300.0,2.7,2026-04-02,N,Home,2024-08-08,customer201@example.com,1,40,3,60,662,76792
CUST100803,F,25.0,Seoul,Basic,10,114400.0,434400.0,3.4,2026-05-23,Y,Food,2020-08-18,customer803@example.com,1,20,2,9,2113,43440
CUST100148,M,57.0,Incheon,Silver,9,99600.0,207200.0,2.9,2026-05-26,N,Food,2021-04-07,customer148@example.com,0,50,2,6,1881,23022
CUST101071,F,56.0,Daejeon,Basic,10,87700.0,320000.0,2.4,2026-05-28,Y,Sports,2025-01-01,customer1071@example.com,0,50,2,4,516,32000
CUST100419,F,20.0,Seoul,Basic,6,102300.0,225100.0,2.2,2026-06-11,N,Fashion,2023-08-19,customer419@example.com,0,20,2,-10,1017,37516
CUST100567,F,54.0,Seoul,Basic,9,145500.0,469900.0,4.5,2026-05-07,N,Sports,2020-07-31,customer567@example.com,1,50,2,25,2131,52211
CUST100783,M,22.0,Gyeonggi,Basic,4,49700.0,42300.0,2.2,2026-03-19,N,Fashion,2024-07-22,customer783@example.com,0,20,1,74,679,10575
CUST101360,M,42.0,Seoul,Gold,7,137900.0,143200.0,3.1,2026-04-29,Y,Food,2023-06-07,customer1360@example.com,0,40,1,33,1090,20457
CUST101252,M,46.0,Busan,Basic,9,97500.0,498600.0,5.0,2025-12-07,Y,Beauty,2020-08-21,customer1252@example.com,0,40,2,176,2110,55400
CUST101204,M,51.0,Seoul,Silver,7,140300.0,276100.0,2.6,2026-06-04,N,Home,2021-11-10,customer1204@example.com,0,50,2,-3,1664,39442
CUST100911,F,25.0,Seoul,Gold,12,145900.0,642700.0,3.4,2026-06-21,N,Beauty,2023-11-16,customer911@example.com,1,20,3,-20,928,53558
CUST100343,F,42.0,Gyeonggi,Basic,5,23100.0,45100.0,4.1,2026-01-23,N,Fashion,2022-10-24,customer343@example.com,0,40,1,129,1316,9020
CUST100259,M,26.0,Seoul,Gold,12,112600.0,366200.0,4.1,2025-11-15,N,Food,2024-01-08,customer259@example.com,0,20,2,198,875,30516
CUST100056,F,21.0,Seoul,Basic,10,73400.0,166300.0,4.7,2026-04-13,N,Fashion,2023-01-17,customer56@example.com,0,20,1,49,1231,16630
CUST100405,F,41.0,Daejeon,Silver,7,110900.0,197500.0,4.2,2026-04-25,N,Beauty,2025-09-27,customer405@example.com,1,40,2,37,247,28214
CUST100053,M,44.0,Busan,Basic,6,117900.0,209800.0,3.7,2026-05-31,N,Fashion,2020-08-20,customer53@example.com,1,40,2,1,2111,34966
CUST101233,F,44.0,Gyeonggi,Gold,8,135800.0,237800.0,4.0,2026-05-25,Y,Fashion,2022-07-03,customer1233@example.com,1,40,2,7,1429,29725
CUST100522,M,46.0,Gwangju,Basic,14,145600.0,660300.0,4.4,2026-02-07,Y,Fashion,2025-10-20,customer522@example.com,1,40,3,114,224,47164
CUST100978,M,28.0,Daegu,Basic,14,131700.0,1060200.0,4.1,2026-03-08,N,Fashion,2022-06-24,customer978@example.com,1,20,3,85,1438,75728
CUST100261,M,25.0,Incheon,Vip,4,156600.0,314300.0,3.7,2026-05-20,Y,Sports,2025-05-15,customer261@example.com,1,20,2,12,382,78575
CUST100459,F,47.0,Daejeon,Basic,4,5000.0,10700.0,3.8,2026-05-30,N,Home,2022-12-18,customer459@example.com,0,40,1,2,1261,2675
CUST100283,F,38.0,Seoul,Silver,8,101300.0,363900.0,3.6,2026-04-18,N,Sports,2024-06-22,customer283@example.com,0,30,2,44,709,45487
CUST100599,M,29.0,Daegu,Vip,10,241900.0,645200.0,3.6,2026-04-21,N,Food,2021-12-31,customer599@example.com,1,20,3,41,1613,64520
